key_id,date,activity_description_,request_by,remarks,kode,value,category_act,venue_act,objek,category,area,type_of_event,status_date,venue_event,year,month,day
661.0,2023-02-28,penggantian gir box mesil rol adonan roti,banquet,done,electric_kitchen,1.0,penggantian,,gir box mesil rol adonan roti,Repair,,Exhibition,set_up,Hall 3,2023,2,28
662.0,2023-02-28,pemasangan paging di ticket box 3.1,banquet,done,audio_visual,1.0,pemasangan,ticket box 3.1,paging,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
663.0,2023-02-28,setup av di kalimaya 2,banquet,done,audio_visual,1.0,setup,kalimaya 2,audio visual,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
664.0,2023-02-28,setup mic 2 buah di kalimaya 1,banquet,done,audio_visual,1.0,setup,kalimaya 1,mic 2 buah,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
665.0,2023-02-28,"dismantle av di garuda 6,10",banquet,done,audio_visual,1.0,dismantle,garuda 6,audio visual,Demolition and Dismantling,lainnya,Exhibition,set_up,Hall 3,2023,2,28
665.0,2023-02-28,"dismantle av di garuda 6,10",banquet,done,audio_visual,1.0,dismantle,garuda 10,audio visual,Demolition and Dismantling,lainnya,Exhibition,set_up,Hall 3,2023,2,28
666.0,2023-02-28,dismantle av di gmh,banquet,done,audio_visual,1.0,dismantle,garuda main hall,audio visual,Demolition and Dismantling,lainnya,Exhibition,set_up,Hall 3,2023,2,28
667.0,2023-02-28,perbaikan toilet difable di hall 5,hk,done,plumbing,1.0,perbaikan,hall 5,toilet difable,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
668.0,2023-02-28,pemasangan portable ac di ticket box 3.1,exhibition,done,mechanical/air_conditioner,1.0,pemasangan,ticket box 3.1,portable ac,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
669.0,2023-02-28,penggantian selektor pompa sampit di alfamart,c/e,done,plumbing,1.0,penggantian,alfamart,selektor pompa sampit,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
670.0,2023-02-28,setup instalasi listrik food truck outdoor di hall 10,banquet,done,electrical,1.0,setup,hall 10,instalasi listrik food truck outdoor,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
671.0,2023-02-28,penggantian selektor 2pcs sampit di samping alfamart,c/e,done,electrical,1.0,penggantian,alfamart,selektor 2pcs sampit,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
672.0,2023-02-28,penggantian lampu tiang di salt,banquet,done,electrical,1.0,penggantian,salt,lampu tiang,Repair,salt,Exhibition,set_up,Hall 3,2023,2,28
673.0,2023-02-28,preventive maintenance panel di hall 5-7,c/e,done,electrical,1.0,preventive maintenance,hall 5,maintenance panel,Maintenance,lainnya,Exhibition,set_up,Hall 3,2023,2,28
673.0,2023-02-28,preventive maintenance panel di hall 5-7,c/e,done,electrical,1.0,preventive maintenance,hall 6,maintenance panel,Maintenance,lainnya,Exhibition,set_up,Hall 3,2023,2,28
673.0,2023-02-28,preventive maintenance panel di hall 5-7,c/e,done,electrical,1.0,preventive maintenance,hall 7,maintenance panel,Maintenance,lainnya,Exhibition,set_up,Hall 3,2023,2,28
674.0,2023-02-28,perbaikan plafon seeling di hall 8-9,exhibition,done,civil,1.0,perbaikan,hall 8,plafon seeling,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
674.0,2023-02-28,perbaikan plafon seeling di hall 8-9,exhibition,done,civil,1.0,perbaikan,hall 9,plafon seeling,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
675.0,2023-02-28,mokeup pemasangan keramik di koridor kitchen,banquet,done,civil,1.0,mokeup,koridor kitchen,pemasangan keramik,Lainnya,lainnya,Exhibition,set_up,Hall 3,2023,2,28
676.0,2023-02-28,perapihan lantai storage tank di ph 2,c/e,done,civil,1.0,perapihan,pf hall 2,lantai storage tank,Lainnya,pf,Exhibition,set_up,Hall 3,2023,2,28
677.0,2023-02-28,perbaikan door closer di toilet wanita hall 6,hk,done,civil,1.0,perbaikan,toilet wanita hall 6,door closer,Repair,toilet wanita,Exhibition,set_up,Hall 3,2023,2,28
678.0,2023-02-28,perbaikan handle pintu kaca yang lepas di convention,exhibition,done,civil,1.0,perbaikan,convention,handle pintu kaca yang lepas,Repair,lainnya,Exhibition,set_up,Hall 3,2023,2,28
679.0,2023-02-28,preventive maintenance ahu di hall 8,c/e,done,mechanical/air_conditioner,1.0,preventive maintenance,hall 8,maintenance ahu,Maintenance,lainnya,Exhibition,set_up,Hall 3,2023,2,28
680.0,2023-02-28,pemasangan taco meja bulat (3 unit) di iie ,c/e,done,civil,1.0,pemasangan,iie,taco meja bulat (3 unit),Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,2,28
681.0,2023-02-28,pemasangan frame handle pintu di toilet pria hall 8 pf,hk,done,civil,1.0,pemasangan,toilet pria pf hall 8,frame handle pintu,Assembly and Installation,toilet pria,Exhibition,set_up,Hall 3,2023,2,28
682.0,2023-03-01,"pemasangan handle pintu di meeting room 3a, room d",exhibition,done,civil,1.0,pemasangan,meeting room 3a,handle pintu,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,3,1
682.0,2023-03-01,"pemasangan handle pintu di meeting room 3a, room d",exhibition,done,civil,1.0,pemasangan,room d,handle pintu,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,3,1
683.0,2023-03-01,ridgid (mampet) buther di ug ,banquet,done,plumbing,1.0,ridgid,ug,(mampet) buther,Lainnya,lainnya,Exhibition,set_up,Hall 3,2023,3,1
684.0,2023-03-01,perbaikan ceilling di toilet green room,hk,done,civil,1.0,perbaikan,toilet green room,ceilling,Repair,lainnya,Exhibition,set_up,Hall 3,2023,3,1
685.0,2023-03-01,pengecekan valve pompa sampit (swp) di hall 10 ,c/e,done,plumbing,1.0,pengecekan,hall 10,valve pompa sampit (swp),Lainnya,lainnya,Exhibition,set_up,Hall 3,2023,3,1
686.0,2023-03-01,perbaikan kayu ornamen yang lepas di lobby convention,banquet,done,civil,1.0,perbaikan,lobby convention,kayu ornamen yang lepas,Repair,lobby,Exhibition,set_up,Hall 3,2023,3,1
687.0,2023-03-01,penyambungan panel kebutuhan listrik di green room,banquet,done,electrical,1.0,penyambungan,green room,panel kebutuhan listrik,Lainnya,lainnya,Exhibition,set_up,Hall 3,2023,3,1
688.0,2023-03-01,pemasangan tv booth ice di hall 3a,banquet,done,audio_visual,1.0,pemasangan,hall 3a,tv booth ice,Assembly and Installation,lainnya,Exhibition,set_up,Hall 3,2023,3,1
689.0,2023-03-02,preventive maintenance pompa cwp cp 1 di ruang chiller ,c/e,done,plumbing,1.0,preventive maintenance,ruang chiller,maintenance pompa cwp chiller plan 1,Maintenance,ruang,Concert,set_up,Hall 5,2023,3,2
